Place,Team,Score,1,2,3,4,5,6,7,Year
5,North Carolina,200,,,,,,,,1985
6,Iowa State,228,,,,,,,,1985
7,Navy,233,,,,,,,,1985
8,Boston University,235,,,,,,,,1985
9,Montana,251,,,,,,,,1985
10,Northeastern,270,,,,,,,,1985
1,Arkansas,96,,,,,,,,1984
2,Arizona,107,,,,,,,,1984
3,Tennessee,139,,,,,,,,1984
4,Wisconsin,153,,,,,,,,1984
5,Virginia,184,,,,,,,,1984
6,Providence,199,,,,,,,,1984
7,Washington State,220,,,,,,,,1984
8,Michigan,287,,,,,,,,1984
9,NC State,307,,,,,,,,1984
10,Iowa State,310,,,,,,,,1984
1,UTEP,108,,,,,,,,1983
2,Wisconsin,164,,,,,,,,1983
3,Oregon,171,,,,,,,,1983
4,Clemson,191,,,,,,,,1983
5,Arkansas,206,,,,,,,,1983
6,East Tennessee State,243,,,,,,,,1983
7,Providence,257,,,,,,,,1983
8,Iowa State,269,,,,,,,,1983
9,Illinois,273,,,,,,,,1983
10,Tennessee,291,,,,,,,,1983
1,Wisconsin,59,,,,,,,,1982
2,Providence,138,,,,,,,,1982
3,Arkansas,142,,,,,,,,1982
4,East Tennessee State,158,,,,,,,,1982
5,UTEP,173,,,,,,,,1982
6,Michigan,177,,,,,,,,1982
7,Colorado,219,,,,,,,,1982
8,Clemson,238,,,,,,,,1982
9,UCLA,250,,,,,,,,1982
10,Oregon,266,,,,,,,,1982
1,UTEP,17,,,,,,,,1981
2,Providence,109,,,,,,,,1981
3,Arkansas,175,,,,,,,,1981
4,Wisconsin,179,,,,,,,,1981
5,UCLA,189,,,,,,,,1981
6,East Tennessee State,223,,,,,,,,1981
7,Arizona,254,,,,,,,,1981
8,Florida State,257,,,,,,,,1981
9,Clemson,301,,,,,,,,1981
10,Illinois,307,,,,,,,,1981
1,UTEP,58,,,,,,,,1980
2,Arkansas,152,,,,,,,,1980
3,Penn State,153,,,,,,,,1980
4,East Tennessee State,189,,,,,,,,1980
5,UCLA,207,,,,,,,,1980
6,Western Kentucky,233,,,,,,,,1980
7,Michigan,243,,,,,,,,1980
8,Clemson,287,,,,,,,,1980
9,Villanova,298,,,,,,,,1980
10,Iowa State,303,,,,,,,,1980
1,UTEP,86,,,,,,,,1979
2,Oregon,93,,,,,,,,1979
3,Penn State,186,,,,,,,,1979
4,Colorado,189,,,,,,,,1979
5,East Tennessee State,224,,,,,,,,1979
6,Auburn,230,,,,,,,,1979
7,Villanova,245,,,,,,,,1979
8,Indiana,265,,,,,,,,1979
9,Washington State,277,,,,,,,,1979
10,Arkansas,291,,,,,,,,1979
1,UTEP,56,,,,,,,,1978
2,Oregon,72,,,,,,,,1978
3,Wisconsin,134,,,,,,,,1978
4,Penn State,220,,,,,,,,1978
5,Colorado,234,,,,,,,,1978
6,Tennessee,247,,,,,,,,1978
6,Arizona,247,,,,,,,,1978
8,Indiana,252,,,,,,,,1978
9,Colorado State,254,,,,,,,,1978
10,Arkansas,300,,,,,,,,1978
1,Oregon,100,,,,,,,,1977
2,UTEP,105,,,,,,,,1977
3,Wyoming,186,,,,,,,,1977
4,Providence,205,,,,,,,,1977
5,BYU,235,,,,,,,,1977
6,Wisconsin,241,,,,,,,,1977
7,East Tennessee State,252,,,,,,,,1977
8,Tennessee,260,,,,,,,,1977
9,Arizona,262,,,,,,,,1977
10,Colorado,303,,,,,,,,1977
1,UTEP,62,,,,,,,,1976
2,Oregon,117,,,,,,,,1976
3,Washington State,179,,,,,,,,1976
4,BYU,182,,,,,,,,1976
5,Illinois,227,,,,,,,,1976
6,Tennessee,280,,,,,,,,1976
7,Arizona,324,,,,,,,,1976
8,San Diego State,361,,,,,,,,1976
9,Providence,370,,,,,,,,1976
10,Arkansas,373,,,,,,,,1976
1,UTEP,88,,,,,,,,1975
2,Washington State,92,,,,,,,,1975
3,Providence,183,,,,,,,,1975
4,Penn State,256,,,,,,,,1975
5,East Tennessee State,268,,,,,,,,1975
6,Western Kentucky,271,,,,,,,,1975
7,BYU,292,,,,,,,,1975
8,Colorado State,300,,,,,,,,1975
9,Wisconsin,301,,,,,,,,1975
10,Illinois,312,,,,,,,,1975
1,Oregon,75,,,,,,,,1974
2,UTEP,132,,,,,,,,1974
3,Washington State,140,,,,,,,,1974
4,Western Kentucky,178,,,,,,,,1974
5,Providence,221,,,,,,,,1974
6,Eastern Michigan,224,,,,,,,,1974
7,Georgetown,238,,,,,,,,1974
8,Massachusetts,252,,,,,,,,1974
9,Wisconsin,253,,,,,,,,1974
10,Penn State,274,,,,,,,,1974
1,Oregon,89,,,,,,,,1973
2,UTEP,157,,,,,,,,1973
3,Washington State,166,,,,,,,,1973
4,William & Mary,174,,,,,,,,1973
5,Colorado,198,,,,,,,,1973
6,Oklahoma State,204,,,,,,,,1973
7,East Tennessee State,247,,,,,,,,1973
8,Wisconsin,251,,,,,,,,1973
9,Penn State,253,,,,,,,,1973
10,Indiana,254,,,,,,,,1973
1,Tennessee,127,,,,,,,,1972
2,East Tennessee State,133,,,,,,,,1972
3,Oklahoma State,150,,,,,,,,1972
4,Bowling Green State,162,,,,,,,,1972
5,Oregon,169,,,,,,,,1972
6,Miami (OH),172,,,,,,,,1972
7,Washington State,184,,,,,,,,1972
8,BYU,212,,,,,,,,1972
9,Penn State,291,,,,,,,,1972
10,Manhattan,305,,,,,,,,1972
1,Oregon,51,,,,,,,,1971
2,Washington State,77,,,,,,,,1971
3,Penn,101,,,,,,,,1971
4,Villanova,122,,,,,,,,1971
5,Bowling Green State,135,,,,,,,,1971
6,Wichita State,203,,,,,,,,1971
7,Miami (OH),223,,,,,,,,1971
8,Michigan State,227,,,,,,,,1971
9,Air Force,256,,,,,,,,1971
10,Ball State,262,,,,,,,,1971
1,Villanova,85,,,,,,,,1970
2,Oregon,86,,,,,,,,1970
3,UTEP,124,,,,,,,,1970
4,Indiana,195,,,,,,,,1970
5,Western Michigan,214,,,,,,,,1970
6,Missouri,237,,,,,,,,1970
7,Michigan State,248,,,,,,,,1970
8,Bowling Green State,324,,,,,,,,1970
9,San Diego State,356,,,,,,,,1970
10,William & Mary,366,,,,,,,,1970
1,UTEP,74,,,,,,,,1969
2,Villanova,88,,,,,,,,1969
3,Oregon,112,,,,,,,,1969
4,Washington State,183,,,,,,,,1969
5,Illinois,200,,,,,,,,1969
6,Western Michigan,220,,,,,,,,1969
7,Minnesota,287,,,,,,,,1969
8,Penn,292,,,,,,,,1969
9,Bowling Green State,325,,,,,,,,1969
10,Penn State,345,,,,,,,,1969
10,Connecticut,345,,,,,,,,1969
1,Villanova,78,,,,,,,,1968
2,Stanford,100,,,,,,,,1968
3,USC,115,,,,,,,,1968
4,Minnesota,239,,,,,,,,1968
5,Colorado,241,,,,,,,,1968
6,San Diego State,247,,,,,,,,1968
7,Drake,255,,,,,,,,1968
8,Caltech,273,,,,,,,,1968
9,Harvard,276,,,,,,,,1968
10,Miami (OH),277,,,,,,,,1968
1,Villanova,91,,,,,,,,1967
2,Air Force,96,,,,,,,,1967
3,Colorado,110,,,,,,,,1967
4,Western Michigan,126,,,,,,,,1967
5,Indiana,134,,,,,,,,1967
6,Missouri,148,,,,,,,,1967
7,San José State,152,,,,,,,,1967
8,Drake,164,,,,,,,,1967
9,BYU,216,,,,,,,,1967
10,Utah,244,,,,,,,,1967
1,Villanova,79,,,,,,,,1966
2,Kansas State,155,,,,,,,,1966
3,San José State,183,,,,,,,,1966
4,Iowa,193,,,,,,,,1966
5,Washington State,208,,,,,,,,1966
6,Colorado,248,,,,,,,,1966
7,Southern Illinois,253,,,,,,,,1966
7,Oregon State,253,,,,,,,,1966
9,Western Michigan,256,,,,,,,,1966
10,Houston,292,,,,,,,,1966
1,Western Michigan,81,,,,,,,,1965
2,Kansas State,92,,,,,,,,1965
3,Northwestern,114,,,,,,,,1965
4,Tennessee,138,,,,,,,,1965
5,Georgetown,139,,,,,,,,1965
6,Oklahoma State,185,,,,,,,,1965
7,Notre Dame,225,,,,,,,,1965
8,Oregon,228,,,,,,,,1965
9,Wyoming,266,,,,,,,,1965
10,BYU,271,,,,,,,,1965
