Place,Athlete,Class,Team,Time,Points,Year
105,Murphy Smith,JR,Navy,30:35.8,—,2023
106,Abdel Laadjel,JR,Providence,30:35.9,—,2023
107,Alex Comerford,JR,Syracuse,30:36.4,88,2023
108,Davis Bove,JR,Cal Poly,30:36.7,—,2023
109,Abdelhakim Abouzouhir,SR,Eastern Kentucky,30:36.9,89,2023
110,Nathan Lawler,SR,Syracuse,30:37.5,90,2023
111,Wil Smith,JR,Gonzaga,30:38.3,91,2023
112,Daniel McGoey,JR,NC State,30:39.6,92,2023
113,Nicholas Kiprotich,JR,Liberty,30:40.1,—,2023
114,Elliott Cook,JR,Oregon,30:40.4,—,2023
115,Taha Er Raouy,FR,Eastern Kentucky,30:41.8,93,2023
116,Owen MacKenzie,SR,Michigan,30:42.2,94,2023
117,Daniel Abdala,JR,Portland,30:43.1,95,2023
118,Wes Porter,JR,Virginia,30:43.4,96,2023
119,Robert Cozean,JR,Notre Dame,30:43.5,97,2023
120,Bryce Cerkowniak,SO,Gonzaga,30:43.8,98,2023
121,Timothy Sindt,JR,Iowa State,30:44.4,99,2023
122,Jason Renze,JR,Air Force,30:44.8,100,2023
123,Benjamin Godish,JR,Northeastern,30:45.6,—,2023
124,Jona Bodirsky,JR,Portland,30:46.5,101,2023
125,Charlie Sprott,FR,Wake Forest,30:47.2,102,2023
126,Gabriel Sanchez,JR,Tennessee,30:47.5,103,2023
127,Parker Stokes,JR,Georgetown,30:47.6,104,2023
128,Taonga Mbambo,SR,La Salle,30:47.8,—,2023
129,Evan Burke,JR,Stanford,30:48.4,105,2023
130,Eric Casarez,SR,Texas A&M,30:48.9,—,2023
131,Birhanu Harriman,FR,Georgetown,30:49.7,106,2023
132,Matthew Farrell,JR,Princeton,30:50.3,107,2023
133,Micah Wilson,FR,Wisconsin,30:51.1,108,2023
134,Cooper Schroeder,SR,Florida State,30:51.8,109,2023
135,Nick Foster,SR,Michigan,30:53.0,110,2023
136,Andrew Nolan,JR,Michigan State,30:53.4,—,2023
137,Luke Tewalt,JR,Wake Forest,30:53.7,111,2023
138,Levi Taylor,JR,Montana State,30:54.1,112,2023
139,Shane Brosnan,SO,Harvard,30:57.0,113,2023
140,Matias Reynaga,JR,Cal Baptist,30:57.5,114,2023
141,Nathan Lopez,FR,Michigan,30:57.6,115,2023
142,Noah Hibbard,JR,Colorado,30:57.7,116,2023
143,Gavin Ehlers,FR,Wake Forest,30:57.9,117,2023
144,Jonas Gertsen,JR,Portland,30:58.1,118,2023
145,Joaquin Campos,FR,Cal Baptist,30:58.6,119,2023
146,Marco Langon,SO,Villanova,30:58.9,120,2023
147,Gitch Hayes,FR,North Carolina,31:02.1,121,2023
148,Lukas Kiprop,FR,New Mexico,31:03.0,122,2023
149,Michael Maiorano,FR,Gonzaga,31:03.1,123,2023
150,Peter Visser,SO,Weber State,31:04.0,—,2023
151,Dean Casey,FR,Tennessee,31:04.0,124,2023
152,Paul Stafford,SR,Colorado,31:06.0,125,2023
153,Tyler Wirth,SR,Cincinnati,31:06.5,—,2023
154,Brandon Olden,SR,Tennessee,31:07.1,126,2023
155,Quinn Gallagher,SR,Notre Dame,31:07.3,127,2023
156,Eli Nahom,SR,Tennessee,31:07.4,128,2023
157,Jack Roberts,SR,Illinois,31:07.4,—,2023
158,Caleb Jarema,SO,Michigan,31:08.5,129,2023
159,Abel Teffra,JR,Georgetown,31:09.4,130,2023
160,MacCallum Rowe,SO,La Salle,31:11.4,—,2023
161,William Zegarski,FR,Butler,31:11.8,131,2023
