Place,Athlete,Class,Team,Time,Points,Year
71,Paul Stafford,SO,Florida State,31:41.1,61,2019
72,Milo Greder,JR,Iowa State,31:41.4,62,2019
73,Jackson Mestler,JR,Oregon,31:41.7,63,2019
74,James West,SR,Oregon,31:43.4,64,2019
75,Matthew Pereira,JR,Harvard,31:44.4,65,2019
76,Addison Dehaven,SR,Iowa State,31:45.4,66,2019
77,Cameron Field,SR,Tulsa,31:45.6,67,2019
78,Michael Teran-Solano,SR,Portland,31:46.0,68,2019
79,Andrew Marston,SR,Villanova,31:46.0,69,2019
80,Stephen Jones,SR,Mississippi State,31:46.6,—,2019
81,Scott Beattie,JR,Tulsa,31:47.5,70,2019
82,Nathan Henderson,SO,Syracuse,31:49.4,71,2019
83,John Rice,SR,Texas,31:50.0,72,2019
84,Garrett Reynolds,SR,UCLA,31:50.6,—,2019
85,Nathan Mylenek,SR,Iowa,31:51.8,—,2019
86,Jordan Rowe,JR,Lamar,31:52.3,—,2019
87,Michael Ottesen,SR,BYU,31:53.2,73,2019
88,Jack Rowe,SR,Washington,31:54.2,74,2019
89,Anthony Russo,JR,Penn,31:54.9,—,2019
90,Kashon Harrison,FR,Colorado,31:55.9,75,2019
91,Arjun Jha,SO,Indiana,31:56.2,76,2019
92,Kaleb McLeod,SR,Belmont,31:56.3,—,2019
93,Olin Hacker,SR,Wisconsin,31:56.4,77,2019
94,Tyler Bowling,SO,Purdue,31:56.5,78,2019
95,Thomas Pollard,JR,Iowa State,31:56.5,79,2019
96,Jordy Hewitt,SR,Michigan,31:57.9,80,2019
97,Matthew Scrape,FR,Syracuse,31:58.6,81,2019
98,Evert Silva,SO,Portland,31:58.7,82,2019
99,Clayton Mendez,FR,Stanford,31:58.9,83,2019
100,Isaac Akers,SO,Tulsa,31:59.3,84,2019
101,Joost Plaetinck,JR,Michigan,31:59.4,85,2019
102,Meika Beaudoin-Rousseau,SO,Stanford,31:59.6,86,2019
103,Marc Migliozzi,SR,Akron,31:59.7,—,2019
104,Alex Slenning,SO,Washington,32:00.0,87,2019
105,Diego Zarate,SR,Virginia Tech,32:00.7,88,2019
106,Tibebu Proctor,JR,Washington,32:00.8,89,2019
107,JD Thorne,SR,Utah State,32:01.7,90,2019
108,Will Battershill,SR,Harvard,32:01.8,91,2019
109,Ben Varghese,JR,East Tennessee,32:02.4,—,2019
110,Randy Neish,JR,Virginia,32:02.8,92,2019
111,Mario Garcia Romo,SO,Mississippi,32:04.2,93,2019
112,Simon Bedard,JR,Butler,32:04.8,—,2019
113,James Withers,SR,Utah State,32:05.5,94,2019
114,Riley Osen,JR,Portland,32:05.6,95,2019
115,Adam Hendrickson,SR,Utah State,32:05.8,96,2019
116,David Ahlmeyer,FR,Furman,32:05.8,97,2019
117,Isaac Green,SO,Washington,32:06.1,98,2019
118,Caleb Garnica,SO,Utah State,32:06.3,99,2019
119,Cameron Ponder,SO,Furman,32:06.4,100,2019
120,Thomas George,SR,Missouri,32:07.3,—,2019
121,Colin Burke,SR,UCLA,32:07.7,—,2019
122,Matthew Carmody,FR,Notre Dame,32:07.7,101,2019
123,Jacob Lee,JR,Michigan,32:07.9,102,2019
124,Charlie O’Donovan,SO,Villanova,32:08.7,103,2019
125,Bailey McIntire,SO,Purdue,32:09.5,104,2019
126,Jake Brophy,SR,Navy,32:09.9,—,2019
127,Alex Masai,SR,Hofstra,32:10.6,—,2019
128,Matthew Schadler,FR,Indiana,32:11.2,105,2019
129,Kevin Salvano,JR,Notre Dame,32:11.9,106,2019
130,Brendan Fraser,SO,Notre Dame,32:12.7,107,2019
131,Jake Ogden,SR,Furman,32:12.8,108,2019
132,Myles Richter,FR,Arkansas,32:14.0,109,2019
133,Reuben Kiprono,JR,Portland,32:14.0,110,2019
134,Abraham Chirchir,SO,UT-Rio Grande Valley,32:14.8,—,2019
135,Shuaib Aljabaly,SO,Wisconsin,32:15.1,111,2019
136,Christopher Henry,SR,Wyoming,32:15.6,—,2019
137,Jacob Choge,SR,Middle Tennessee,32:16.0,112,2019
138,James Mwaura,SO,Gonzaga,32:16.2,—,2019
139,Gabe Fendel,FR,Colorado,32:16.3,113,2019
140,Carter Christman,JR,Oregon,32:16.4,114,2019
141,Jamie Dee,SO,Iona,32:16.6,115,2019
142,Haftu Strintzos,FR,Villanova,32:17.2,116,2019
143,Charlie Hunter,JR,Oregon,32:17.8,117,2019
144,Julius Diehr,SR,Washington,32:18.3,118,2019
145,Jac Hopkins,JR,Iona,32:18.7,119,2019
146,Parker Scott,JR,Mississippi,32:19.0,120,2019
147,Matt Young,JR,Arkansas,32:19.1,121,2019
148,Bryce Millar,SR,Indiana,32:19.1,122,2019
149,Ben Eidenschink,SR,Wisconsin,32:19.2,123,2019
150,Austin Vancil,FR,Colorado,32:19.6,124,2019
151,Theo Quax,FR,Northern Arizona,32:20.3,125,2019
152,Titus Cheruiyot,FR,UTEP,32:21.3,—,2019
153,Florian Lussy,SR,North Texas,32:21.8,—,2019
154,Connor Weaver,JR,BYU,32:22.6,126,2019
155,Jordan Brannan,SO,Iona,32:23.5,127,2019
156,Brody Smith,JR,Purdue,32:23.7,128,2019
157,Price Owens,FR,Georgetown,32:24.7,129,2019
158,Ares Reading,FR,Furman,32:26.2,130,2019
159,AJ Ernst,JR,Virginia,32:28.0,131,2019
160,Roberto Porras,SO,Utah State,32:28.1,132,2019
161,Brent Leber,SO,Lipscomb,32:28.2,—,2019
162,Casey Comber,SR,Villanova,32:28.9,133,2019
163,Dustin Horter,SO,Indiana,32:29.0,134,2019
164,Josh Phillips,SO,Villanova,32:29.2,135,2019
165,George Kusche,SO,Nebraska,32:31.1,—,2019
166,Alec Basten,JR,Minnesota,32:31.7,—,2019
167,Seth Hirsch,JR,Wisconsin,32:31.8,136,2019
168,Elijah Armstrong,JR,Boise State,32:33.2,137,2019
169,Henry Mong,SO,Boise State,32:33.5,138,2019
170,Lachlan Cook,JR,Virginia,32:34.3,139,2019
171,Kigen Chemadi,SR,Middle Tennessee,32:35.3,140,2019
172,Tanis Baldwin,SR,NC State,32:37.3,141,2019
173,Kasey Knevelbaard,SR,Florida State,32:37.5,142,2019
174,David Too,SR,Iowa State,32:39.4,143,2019
175,Jack Yearian,JR,Oregon,32:40.0,144,2019
176,Jack Van Scoter,SR,Georgetown,32:40.5,145,2019
177,Cade Bethmann,SO,Mississippi,32:41.6,146,2019
178,Noah Beveridge,FR,Syracuse,32:42.3,147,2019
179,Steven Cross,SR,Florida State,32:43.7,148,2019
180,Haftu Knight,FR,Texas,32:44.4,149,2019
181,Dominic Hockenbury,JR,Syracuse,32:44.4,150,2019
182,Antonio Lopez Segura,FR,Virginia Tech,32:44.8,151,2019
183,Thomas Ratcliffe,JR,Stanford,32:45.0,152,2019
184,Ben Hill,SR,Michigan,32:47.2,153,2019
185,Ed Goddard,SO,Iona,32:47.7,154,2019
186,Joe Horen,SR,Portland,32:48.1,155,2019
187,Crayton Carrozza,FR,Texas,32:49.3,156,2019
188,Matthias Cannon,FR,Virginia Tech,32:50.1,157,2019
189,Ryan Murphy,SO,Arkansas,32:50.2,158,2019
190,Nick Randazzo,JR,UC Santa Barbara,32:52.2,—,2019
191,Nathan Rodriguez,SR,Villanova,32:53.2,159,2019
192,Michael Coccia,JR,Mississippi,32:53.7,160,2019
193,Kevin James,SR,Syracuse,32:54.6,161,2019
194,Preston Cates,SR,Arkansas,32:54.7,162,2019
195,Eric Casarez,SO,Texas A&M,32:55.7,—,2019
196,Hugo Milner,JR,Harvard,32:57.4,163,2019
197,Reed Sahadevan,JR,Tulsa,32:59.1,164,2019
198,Adriaan Wildschutt,SO,Coastal Carolina,33:00.5,—,2019
199,Kyle Griffith,SO,Purdue,33:00.9,165,2019
200,Ari Klau,SR,Virginia,33:01.5,166,2019
201,Dallin Farnsworth,SR,Utah State,33:02.5,167,2019
202,Jonathan Shields,JR,Boise State,33:03.0,168,2019
203,Jackson Sharp,FR,Wisconsin,33:03.0,169,2019
204,Silas Griffith,JR,Florida State,33:03.8,170,2019
205,Spencer Brown,SR,Georgetown,33:08.7,171,2019
206,Patrick Spychalski,FR,Villanova,33:12.5,172,2019
207,Caleb Pottorff,SO,Florida State,33:14.3,173,2019
208,Tim Bason,JR,NC State,33:20.0,174,2019
209,Bashir Mosavel-Lo,SO,Virginia Tech,33:21.0,175,2019
210,Trent Mandato,JR,Furman,33:25.4,176,2019
211,Shea Weilbaker,FR,Georgetown,33:27.2,177,2019
212,Carter Persyn,SR,Arkansas,33:28.6,178,2019
213,Joe Dragon,JR,Syracuse,33:29.6,179,2019
214,James Brinyark,SR,Alabama,33:29.7,180,2019
215,Rusty Kujdych,SO,Georgetown,33:31.7,181,2019
216,Jacob Holmes,FR,Florida State,33:33.7,182,2019
217,Ezekiel Kibichii,FR,Eastern Kentucky,33:34.6,—,2019
218,Nathan Dunn,FR,Boise State,33:34.6,183,2019
219,Reese Jordan,SO,Indiana,33:34.7,184,2019
220,Michael Alber,JR,Harvard,33:35.8,185,2019
221,Matthew Bouthillette,SR,Georgetown,33:38.6,186,2019
222,David Melville,SO,Harvard,33:40.2,187,2019
223,Elliott Miller,SR,Alabama,33:40.6,188,2019
224,Benjamin Drezek,JR,UMass Lowell,33:43.6,—,2019
225,Cruz Gomez,FR,Texas,33:43.9,189,2019
226,Alec Fleming,FR,Purdue,33:44.1,190,2019
227,Daniel Golden,SR,Texas,33:45.4,191,2019
228,Matthew Novak,SR,Virginia,33:47.8,192,2019
229,Zack Snider,SR,Wisconsin,33:49.1,193,2019
230,Nathan Lawler,FR,Syracuse,33:55.7,194,2019
231,D.J. Principe,SO,Stanford,33:57.7,195,2019
232,Hillary Kimaiyo,FR,Middle Tennessee,34:04.0,196,2019
233,Sam Tanner,FR,Washington,34:11.6,197,2019
234,Matthew Newland,SO,Florida State,34:13.0,198,2019
235,Cole Bullock,FR,Mississippi,34:15.1,199,2019
236,Jack Joyce,SR,Virginia Tech,34:15.8,200,2019
237,Elliot Gindi,SO,Alabama,34:18.5,201,2019
238,Graham Brown,SR,Arkansas,34:23.2,202,2019
239,Jake Johnson,JR,Texas,34:32.0,203,2019
240,Adam Breaux,SR,Tulsa,34:34.2,204,2019
241,Ryan Kutch,SR,Fordham,34:48.2,—,2019
242,Yared Mekonnen,FR,NC State,34:51.2,205,2019
243,Jayce Turner,FR,Arkansas,34:57.1,206,2019
244,Jacob Wiggers,FR,Alabama,35:15.2,207,2019
245,Lebo Mosito,JR,Middle Tennessee,35:37.0,208,2019
246,Titus Lagat,FR,Middle Tennessee,35:50.4,209,2019
247,Brian Rono,SO,Middle Tennessee,35:57.4,210,2019
248,Ares Epps,FR,NC State,36:06.5,211,2019
249,Nathan Mack,SR,Middle Tennessee,36:52.4,212,2019
1,Morgan McDonald,SR,Wisconsin,29:08.3,1,2018
2,Grant Fisher,SR,Stanford,29:08.8,2,2018
3,Edwin Kurgat,JR,Iowa State,29:09.0,3,2018
4,Isai Rodriguez,FR,Oklahoma State,29:10.5,4,2018
5,Aaron Templeton,SR,Furman,29:11.9,—,2018
6,Tyler Day,SR,Northern Arizona,29:12.9,5,2018
7,Amon Kemboi,SO,Campbell,29:14.6,—,2018
8,Joe Klecker,JR,Colorado,29:15.0,6,2018
9,John Dressel,JR,Colorado,29:16.9,7,2018
10,Conner Mantz,FR,BYU,29:17.1,8,2018
11,Ryan Forsyth,SR,Colorado,29:21.0,9,2018
12,Alfred Chelanga,SR,Alabama,29:27.4,—,2018
13,Alex Ostberg,JR,Stanford,29:33.9,10,2018
14,James Sugira,FR,Eastern Kentucky,29:35.6,11,2018
15,Matthew Baxter,SR,Northern Arizona,29:35.7,12,2018
16,Peter Seufer,JR,Virginia Tech,29:36.9,—,2018
17,Oliver Hoare,JR,Wisconsin,29:37.8,13,2018
18,Eric Hamer,SR,Colorado State,29:38.2,14,2018
19,Tanner Anderson,JR,Washington,29:40.8,15,2018
20,Paul Roberts,JR,Wyoming,29:41.4,16,2018
21,Emmanuel Roudolff-Levisse,JR,Portland,29:41.7,17,2018
22,Rory Linkletter,SR,BYU,29:42.5,18,2018
23,Luis Grijalva,SO,Northern Arizona,29:44.3,19,2018
24,Connor McMillan,SR,BYU,29:48.1,20,2018
25,Logan Orndorf,SR,Portland,29:49.6,21,2018
26,Blaise Ferro,SO,Northern Arizona,29:50.8,22,2018
27,Ashenafi Hatte,JR,Oklahoma State,29:51.0,23,2018
28,Addison DeHaven,SR,Boise State,29:51.2,24,2018
29,Peter Lomong,SR,Northern Arizona,29:52.3,25,2018
30,Alek Parsons,SO,Stanford,29:52.6,26,2018
31,Brent Demarest,SR,Virginia,29:54.4,—,2018
32,Clayson Shumway,SO,BYU,29:54.9,27,2018
33,Danny Kilrea,FR,Notre Dame,29:55.2,28,2018
34,Casey Comber,JR,Villanova,29:56.1,29,2018
35,John Aho,SO,Michigan,29:56.8,30,2018
36,Waleed Suliman,SO,Mississippi,29:57.0,31,2018
37,Lawrence Kipkoech,SR,Campbell,29:57.6,—,2018
38,Tibebu Proctor,SO,Washington,29:58.2,32,2018
39,Geordie Beamish,JR,Northern Arizona,29:58.4,33,2018
40,Nick Hauger,SR,Portland,29:58.5,34,2018
41,Carson Hume,SR,Colorado State,30:00.0,35,2018
42,Cameron Griffith,SR,Arkansas,30:01.1,36,2018
43,Eduardo Herrera,SO,Colorado,30:02.0,37,2018
44,Riley Campbell,SR,Boise State,30:02.2,38,2018
45,Yusuke Uchikoshi,SR,Boise State,30:02.8,39,2018
46,Andrew Jordan,JR,Iowa State,30:05.1,40,2018
47,Kieran Tuntivate,JR,Harvard,30:06.1,—,2018
48,Stuart McCallum,JR,Portland,30:07.8,41,2018
49,Kyle Mau,JR,Indiana,30:08.7,42,2018
50,Jacob Heslington,JR,BYU,30:08.8,43,2018
51,Aidan Reed,JR,Southern Utah,30:09.8,44,2018
52,Kyle Mattes,SR,Illinois State,30:10.3,—,2018
53,Nicholas Wareham,SO,Georgetown,30:10.6,—,2018
54,Ian Shanklin,SO,NC State,30:10.9,45,2018
55,George Kusche,FR,Nebraska,30:12.0,—,2018
56,Olin Hacker,JR,Wisconsin,30:12.8,46,2018
57,Michael Somers,SR,Portland,30:12.8,47,2018
58,Fred Huxham,SR,Washington,30:13.3,48,2018
59,Yared Nuguse,SO,Notre Dame,30:13.6,49,2018
60,Paul Hogan,SR,UMass Lowell,30:14.9,—,2018
61,Chad Johnson,FR,Iowa State,30:18.2,50,2018
62,Brayden McLelland,JR,BYU,30:19.4,51,2018
63,Christopher Henry,JR,Wyoming,30:20.1,52,2018
64,Jack Van Scoter,JR,Georgetown,30:21.5,—,2018
65,Hugo Milner,SO,Harvard,30:22.0,—,2018
66,Luis Martinez,SR,Oklahoma State,30:22.4,53,2018
67,Andy Snyder,JR,Washington,30:22.6,54,2018
68,Caleb Webb,JR,Portland,30:24.3,55,2018
69,Mickey Davey,SR,Air Force,30:24.5,56,2018
70,Andrew Marston,JR,Villanova,30:24.9,57,2018
71,Roman Ollar,JR,Army West Point,30:25.2,—,2018
72,Clayton Young,SR,BYU,30:25.2,58,2018
73,Jackson Mestler,JR,Oregon,30:25.7,59,2018
74,Nathan Thomas,SR,Air Force,30:25.7,60,2018
75,Jamie Crowe,SR,Lamar,30:26.4,—,2018
76,Dan Curts,SR,Iowa State,30:27.0,61,2018
77,D.J. Principe,FR,Stanford,30:27.3,62,2018
78,Carlos Villarreal,JR,Arizona,30:28.1,—,2018
79,John Tatter,FR,Michigan,30:28.2,63,2018
80,Talon Hull,SO,Washington,30:28.6,64,2018
81,Azaria Kirwa,SR,Liberty,30:28.6,—,2018
82,Jaime Romo,SR,Eastern Kentucky,30:29.4,65,2018
83,Jack Rowe,SR,San Francisco,30:29.9,—,2018
84,Milo Greder,SO,Iowa State,30:31.6,66,2018
85,Blake Haney,SR,Oregon,30:32.1,67,2018
86,Alex Rogers,SR,Texas,30:32.6,68,2018
87,Forrest Barton,JR,Colorado State,30:32.9,69,2018
88,Joe Bistritz,SO,NC State,30:32.9,70,2018
89,Gavin Gaynor,SO,NC State,30:33.0,71,2018
90,Joe Dragon,SO,Syracuse,30:33.1,72,2018
91,Mark Robertson,SR,Mississippi,30:33.2,73,2018
92,Ehab El-Sandali,SO,Iona,30:33.5,74,2018
93,Cade Bethmann,FR,Mississippi,30:33.6,75,2018
94,Cooper Teare,SO,Oregon,30:34.3,76,2018
95,Ben Kendell,SR,Detroit Mercy,30:35.0,—,2018
96,Elijah Moskowitz,SR,NC State,30:35.6,77,2018
97,Anthony Williams,JR,Notre Dame,30:35.8,78,2018
98,Edwin Rutto,SO,NC State,30:36.5,79,2018
99,Nate Osterstock,SO,Southern Utah,30:36.9,80,2018
100,Gannon Willcutts,JR,Princeton,30:37.0,81,2018
101,Conor Lundy,JR,Princeton,30:37.3,82,2018
102,Matt Grossman,SO,Princeton,30:37.6,83,2018
103,Mark Freyhof,SO,Nebraska,30:37.6,—,2018
104,Ben Eidenschink,JR,Wisconsin,30:39.5,84,2018
105,Harry Ewing,JR,Wyoming,30:39.5,85,2018
106,Michael Ward,SR,Bradley,30:40.3,86,2018
107,Jacob McLeod,FR,Belmont,30:41.5,—,2018
108,Brody Smith,SO,Purdue,30:42.1,87,2018
109,Euan Makepeace,JR,Butler,30:42.4,—,2018
110,Sam Webb,SR,Penn,30:42.7,—,2018
111,Aaron Bienenfeld,JR,Cincinnati,30:42.8,—,2018
112,Elijah Armstrong,SO,Boise State,30:44.1,88,2018
113,John Rice,JR,Texas,30:46.8,89,2018
114,Peter Lynch,SO,Tulsa,30:47.1,90,2018
115,Haran Dunderdale,SR,Bradley,30:47.4,91,2018
116,Daniel Hintz,JR,Wyoming,30:47.6,92,2018
117,Jack Yearian,SO,Oregon,30:48.1,93,2018
118,Jacob Brueckman,SO,Colorado State,30:48.4,94,2018
119,Jaret Carpenter,JR,Purdue,30:49.2,95,2018
120,Shuaib Aljabaly,FR,Wisconsin,30:49.9,96,2018
121,Maximilliano Martinez,FR,Colorado State,30:49.9,97,2018
122,Gavin Parpart,SO,Washington,30:50.1,98,2018
123,Aidan Tooker,JR,Syracuse,30:50.6,99,2018
124,Noah Schutte,SR,Portland,30:51.4,100,2018
125,Tai Dinger,SR,Stanford,30:52.7,101,2018
126,Gilbert Boit,JR,Arkansas,30:53.3,102,2018
127,Koby Pederson,SR,Loyola Marymount,30:53.8,—,2018
128,Trevor Siniscalchi,SR,Air Force,30:54.3,103,2018
129,Dustin Horter,FR,Indiana,30:55.3,104,2018
130,Daniel Michalski,SR,Indiana,30:55.6,105,2018
131,Sam Worley,SO,Texas,30:55.8,106,2018
132,Ben Hill,JR,Michigan,30:55.9,107,2018
133,Arjun Jha,FR,Indiana,30:56.7,108,2018
134,Jordan Rowe,JR,Lamar,30:57.5,—,2018
135,Sean Newcomb,JR,Southern Utah,30:58.0,109,2018
136,Bryce Millar,JR,Indiana,30:58.0,110,2018
137,Michael Vernau,SO,Stanford,30:58.7,111,2018
138,James West,SR,Oregon,30:59.2,112,2018
139,Jack O’Leary,SO,Iona,30:59.3,113,2018
140,Satchel Caldwell,JR,Colorado State,30:59.7,114,2018
141,Nathan Mylenek,JR,Iowa,30:59.9,—,2018
142,Liam Dee,SR,Iona,31:00.4,115,2018
143,Ty Mogan,JR,Montana State,31:00.5,—,2018
144,Erick Rotich,SR,Eastern Kentucky,31:00.8,116,2018
145,Tyler Keslin,JR,Notre Dame,31:01.0,117,2018
146,David Corrales,SR,Eastern Kentucky,31:02.2,118,2018
147,Ethan Gonzales,SR,Colorado,31:02.4,119,2018
148,Antoine Senard,FR,Eastern Kentucky,31:02.7,120,2018
149,Florian Lussy,JR,North Texas,31:02.8,—,2018
150,John Nownes,SR,Iowa State,31:02.8,121,2018
151,Ryan Raff,FR,Northern Arizona,31:03.0,122,2018
152,Simon Smith,JR,Syracuse,31:03.6,123,2018
153,Garrett Corcoran,SR,Cal,31:04.0,—,2018
154,Mario Garcia Romo,FR,Mississippi,31:04.5,124,2018
155,Emmanuel Rotich,SR,Tulane,31:05.4,—,2018
156,Jake Hoffert,JR,Bradley,31:06.0,125,2018
157,Michael Downey,SR,Wyoming,31:07.0,126,2018
158,William Anderson,JR,Bradley,31:07.7,127,2018
159,Farah Abdulkarim,JR,Mississippi,31:08.2,128,2018
160,Andrew Alexander,SO,Notre Dame,31:08.7,129,2018
161,Trent Powell,SR,Colorado State,31:09.0,130,2018
162,Josh Phillips,FR,Villanova,31:09.2,131,2018
163,Paxton Smith,SO,Colorado,31:12.3,132,2018
164,Alec Schrank,SO,Air Force,31:13.3,133,2018
165,Christian Ricketts,SO,Southern Utah,31:14.1,134,2018
166,Ethan Moehn,SR,Arkansas,31:14.4,135,2018
167,Kevin Salvano,SO,Notre Dame,31:15.0,136,2018
168,Ryan Riddle,FR,Tulsa,31:15.2,137,2018
169,Justin Domangue,JR,UT-Arlington,31:15.3,—,2018
170,David Krahn,SO,Princeton,31:15.7,138,2018
171,Bryce Quigley,FR,Oklahoma State,31:15.8,139,2018
172,Jacob Lee,SO,Michigan,31:16.2,140,2018
173,Joseph Murphy,SR,Indiana,31:16.3,141,2018
174,Meika Beaudoin-Rousseau,FR,Stanford,31:17.5,142,2018
175,Isaac Harding,SO,Michigan,31:18.9,143,2018
176,Steven Cross,JR,Florida State,31:19.2,144,2018
177,Ben Varghese,SO,East Tenn. St.,31:20.2,—,2018
178,Reed Brown,SO,Oregon,31:21.9,145,2018
179,Scott Johnson,SO,Air Force,31:22.3,146,2018
180,Patrick Sheehan,SR,NC State,31:22.7,147,2018
181,Jamie Dee,FR,Iona,31:23.1,148,2018
182,Charlie Hunter,FR,Oregon,31:24.2,149,2018
183,Ben Savino,SO,Mississippi,31:24.7,150,2018
184,Abraham Chirchir,FR,UT-Rio Grande Valley,31:24.7,—,2018
185,Luke Hoffert,JR,Bradley,31:25.5,151,2018
186,Colin O’Mara,SR,Arkansas,31:26.1,152,2018
187,Anthony Russo,SO,Penn,31:28.8,—,2018
188,Ahmed Muhumed,SO,Boise State,31:29.3,153,2018
189,Nathan Henderson,FR,Syracuse,31:29.4,154,2018
190,Noah Affolder,SO,Syracuse,31:30.5,155,2018
191,Akis Medrano,SR,Indiana State,31:30.6,—,2018
192,Liam Kennell,SR,Southern Utah,31:31.0,156,2018
193,Paul Stafford,FR,Florida State,31:31.0,157,2018
194,Isaac Akers,FR,Tulsa,31:31.6,158,2018
195,Alec Haines,SO,Oklahoma State,31:36.2,159,2018
196,Bradley Wattleworth,SR,Notre Dame,31:36.7,160,2018
197,Reese Jordan,FR,Indiana,31:36.9,161,2018
198,Jordan Hewitt,JR,Michigan,31:38.3,162,2018
199,Samuel Abascal,JR,Eastern Kentucky,31:40.6,163,2018
200,Patrick Sullivan,JR,Air Force,31:41.1,164,2018
201,Bailey McIntire,FR,Purdue,31:42.7,165,2018
202,George Espino,SR,Southern Utah,31:43.2,166,2018
203,Curt Eckstein,SO,Purdue,31:45.9,167,2018
204,Zach Long,SR,Tennessee,31:46.3,—,2018
205,Kevin James,JR,Syracuse,31:46.8,168,2018
206,Zach Stewart,JR,Eastern Kentucky,31:47.1,169,2018
207,Caleb Pottorff,FR,Florida State,31:48.5,170,2018
208,Jake Johnson,SO,Texas,31:50.0,171,2018
209,Mick Stanovsek,JR,Washington,31:51.2,172,2018
210,Ed Trippas,SO,Princeton,31:51.7,173,2018
211,Jerald Taylor,SO,Wyoming,31:52.2,174,2018
212,Tyson Miehe,SR,Wisconsin,31:52.8,175,2018
213,Jacob Branch,SO,Michigan,31:54.6,176,2018
214,Matt Young,SO,Arkansas,31:54.7,177,2018
215,Charlie O’Donovan,FR,Villanova,31:57.2,178,2018
216,Jeff Lautenslager,SR,Boise State,32:00.9,179,2018
217,Miler Haller,JR,Boise State,32:02.8,180,2018
218,Cameron Field,JR,Tulsa,32:04.8,181,2018
219,Paul Power,JR,Villanova,32:06.8,182,2018
220,Toby Hardwick,SR,Florida State,32:07.7,183,2018
221,Christian Alberico,JR,Iona,32:08.0,184,2018
222,Gus Newcomb,FR,Colorado,32:08.8,185,2018
223,Dominic Hockenbury,SO,Syracuse,32:10.4,186,2018
224,Kaleb McLeod,JR,Belmont,32:14.1,—,2018
225,Viraj Deokar,JR,Princeton,32:16.9,187,2018
226,Kyle Griffith,FR,Purdue,32:19.8,188,2018
227,Dalton Hengst,FR,Mississippi,32:20.5,189,2018
228,Ben Barrett,JR,NC State,32:23.4,190,2018
229,Tyson Murray,JR,Florida State,32:28.9,191,2018
230,Jake Hanawalt,SR,Purdue,32:32.5,192,2018
231,Graham Brown,JR,Arkansas,32:34.2,193,2018
232,Zach Black,SO,Iowa State,32:36.2,194,2018
233,Ayrton Ledesma,JR,Oklahoma State,32:36.6,195,2018
234,Garek Bielaczyc,JR,Texas,32:38.2,196,2018
235,Zach Swenson,SR,Villanova,32:38.5,197,2018
236,Matthew Courtenay,FR,Iona,32:39.3,198,2018
237,Derick Peters,FR,Wisconsin,32:40.0,199,2018
238,Ryan Murphy,FR,Arkansas,32:40.3,200,2018
239,Jack Franklin,FR,Bradley,32:42.6,201,2018
240,Martin Barr,SO,Villanova,32:45.6,202,2018
241,Jorge Perez,JR,Oklahoma State,32:47.6,203,2018
242,Matthew Newland,FR,Florida State,32:53.3,204,2018
243,Jonah Henry,SR,Wyoming,32:55.7,205,2018
244,Tyler Bowling,SO,Purdue,33:00.9,206,2018
245,Justin Weber,JR,Air Force,33:05.5,207,2018
246,Pedro Nasta,SR,Texas,33:13.6,208,2018
247,Alec Danner,SO,Bradley,33:19.8,209,2018
248,Koy Moore,SR,Southern Utah,33:25.3,210,2018
249,Adam Breaux,JR,Tulsa,33:27.9,211,2018
250,Jordan Brannan,FR,Iona,33:35.4,212,2018
251,Mark Middleton,SR,Tulsa,34:19.6,213,2018
252,Charles Mills,SR,Texas,35:22.3,214,2018
1,Justyn Knight,SR,Syracuse,29:00.1,1,2017
2,Matthew Baxter,JR,Northern Arizona,29:00.8,2,2017
3,Tyler Day,JR,Northern Arizona,29:04.6,3,2017
4,Gilbert Kigen,JR,Alabama,29:11.9,4,2017
5,Grant Fisher,JR,Stanford,29:12.1,5,2017
6,Dillon Maggard,SR,Utah State,29:16.2,6,2017
7,Vincent Kiprop,JR,Alabama,29:27.2,7,2017
8,Peter Lomong,JR,Northern Arizona,29:33.1,8,2017
9,Lawrence Kipkoech,JR,Campbell,29:34.5,—,2017
10,Jonathan Green,JR,Georgetown,29:38.6,—,2017
11,Emmanuel Roudolff-Levisse,SO,Portland,29:38.9,9,2017
12,Sean Tobin,SR,Ole Miss,29:39.4,10,2017
13,Jack Bruce,SR,Arkansas,29:39.5,11,2017
14,Jeff Thies,SR,Portland,29:40.7,12,2017
15,Andrew Jordan,SO,Iowa State,29:40.7,13,2017
16,Alex Ostberg,SO,Stanford,29:41.7,14,2017
17,Steven Fahy,JR,Stanford,29:42.1,15,2017
18,Mickey Davey,JR,Air Force,29:42.5,16,2017
19,Brent Demarest,JR,Virginia,29:43.6,17,2017
20,Ben Flanagan,SR,Michigan,29:44.1,18,2017
21,Edwin Kurgat,SO,Tennessee-Martin,29:44.3,—,2017
22,Nahom Solomon,SR,Georgia Tech,29:44.4,—,2017
23,Kigen Chemadi,SO,Middle Tennessee State,29:45.4,19,2017
24,Casey Clinger,FR,BYU,29:46.4,20,2017
25,Azaria Kirwa,JR,Liberty,29:46.5,—,2017
26,Nick Hauger,JR,Portland,29:46.7,21,2017
27,Gilbert Kirui,SR,Iona,29:50.7,22,2017
28,Nadeel Wildschutt,FR,Coastal Carolina,29:52.0,—,2017
29,Amon Kemboi,FR,Campbell,29:52.1,—,2017
30,Connor McMillan,JR,BYU,29:52.3,23,2017
31,Addison DeHaven,JR,Boise State,29:53.1,24,2017
