Place,Name,Team,Time,Year
7, Becky Spies,Villanova,16:54.6,1993
8, Megan Flowers,Arkansas,16:56.4,1993
9, Shelly Taylor,Arkansas,16:58.0,1993
10, Karen Hecox,UCLA,16:58.3,1993
1, Jennifer Rhines,Villanova,16:31.2,1994
2, Amy Rudolph,Providence,16:44.8,1994
3, Rebecca Spies,Villanova,16:55.8,1994
4, Megan Flowers,Arkansas,17:04.2,1994
5, Kathy Butler,Wisconsin,17:07.8,1994
6, Alice Braham,Oklahoma,17:09.1,1994
7, Suzanne Castruita,Arizona,17:09.7,1994
8, Christine Stief,Boston University,17:10.3,1994
9, Karen Hecox,UCLA,17:12.8,1994
10, Marcie Homan,William & Mary,17:14.4,1994
1, Kathy Butler,Wisconsin,16:51,1995
2, Amy Skieresz,Arizona,16:55,1995
3, Jennifer Rhines,Villanova,17:02,1995
4, Marie McMahon,Providence,17:09,1995
5, Mary Cobb,Stanford,17:18,1995
6, Marie McCambridge,Providence,17:22,1995
7, Carrie Tollefson,Villanova,17:22,1995
8, Tara Carlson,Washington,17:26,1995
9, Melody Fairchild,Oregon,17:28,1995
10, Katie Swords,Southern Methodist,17:29,1995
1, Amy Skieresz,Arizona,17:04,1996
2, Marie McMahon,Providence,17:20,1996
3, Joanna Deeter,Notre Dame,17:24,1996
4, Kristino Jost,Villanova,17:29,1996
5, Carrie Tollefson,Villanova,17:43,1996
6, Marisa Avenado,CSU Sacramento,17:49,1996
7, Emebet Guilliat-Shiferaw,USC,17:53,1996
8, Laura Rhodes,NC State,17:53,1996
9, Rikke Peterson,Northern Arizona,17:54,1996
10, Monal Chokshi,Stanford,17:58,1996
1, Carrie Tollefson,Villanova,16:29,1997
2, Amy Skieresz,Arizona,16:39,1997
3, Angela Graham,Boston College,16:47,1997
4, Julia Stamps,Stanford,16:47,1997
5, Katie McGregor,Michigan,16:48,1997
6, Carmen Douma,Villanova,16:50,1997
7, Amy Yoder,Arkansas,16:56,1997
8, Courtney Pugmire,BYU,16:58,1997
9, Marie Davis,Oregon,16:59,1997
10, Amy Swier,Northern Arizona,16:59,1997
1, Katie McGregor,Michigan,16:47,1998
2, Amy Skieresz,Arizona,16:53,1998
3, Amy Yoder,Arkansas,17:03,1998
4, Kristen Gordon,Georgetown,17:09,1998
5, Sally Glynn,Stanford,17:09,1998
6, Julia Stamps,Stanford,17:11,1998
7, Maggie Chan Man Yee,BYU,17:14,1998
8, Marie-Elena Calle,Virginia Commonwealth,17:14,1998
9, Marie Davis,Oregon,17:16,1998
10, Jessica Koch,Arkansas,17:16,1998
1, Erica Palmer,Wisconsin,16:39.5,1999
2, Amy Yoder,Arkansas,16:44.1,1999
3, Larissa Kleinmann,Arkansas,16:48.8,1999
4, Hanna Lyngstad,Tulane,16:50.3,1999
5, Lauren Fleshman,Stanford,16:50.9,1999
6, Leigh Daniel,Texas Tech,16:51.4,1999
7, Erin Sullivan,Stanford,16:56.2,1999
8, Maria-Elena Calle,Virginia Commonwealth,16:57.2,1999
9, Kara Wheeler,Colorado,16:58.4,1999
10, Korene Hinds,Kansas State,16:58.6,1999
1, Kara Wheeler,Colorado,20:30.5,2000
2, Sabrina Monroe,Montana,20:37.8,2000
3, Erica Palmer,Wisconsin,20:39.9,2000
4, Shalane Flanagan,North Carolina,20:42.7,2000
5, Lisa Aguilera,Arizona State,20:46.3,2000
6, Amy Mortimer,Kansas State,20:50.1,2000
7, Sheela Agrawal,Duke,20:50.4,2000
8, Sara Gorton,Colorado,20:51.3,2000
9, Bethany Brewster,Wisconsin,20:53.3,2000
10, Larissa Kleinmann,Arkansas,20:54.0,2000
1, Tara Chaplin,Arizona,20:24,2001
2, Renee Metivier,Georgia Tech,20:31,2001
3, Lauren Fleshman,Stanford,20:35,2001
4, Kristin Price,NC State,20:36,2001
5, Michaela Manova,BYU,20:42,2001
6, Jennifer Owens,Virginia,20:43,2001
7, Jessie Kindschi,BYU,20:49,2001
8, Molly Austin,Colorado,20:51,2001
9, Tara Northcutt,BYU,20:55,2001
10, Maggie Guiney,Boston College,20:56,2001
1, Shalane Flanagan,North Carolina,19:36.0,2002
2, Kate O'Neill,Yale,19:45.9,2002
3, Alicia Craig,Stanford,19:48.0,2002
4, Lauren Fleshman,Stanford,19:48.3,2002
